Référence;Titre;Durée (min);Année;Restriction;Nombre de votes;Score;Description
F-15B91-1932;The Tenderfoot;70;1932;;347;5.8;Calvin Jones is a cowboy who wants to invest in a Broadway play. Ruth Weston, a secretary, learns that her boss, Joe Lehman, is attempting to swindle Jones and pulls a successful coup detat producing a play that she stars in.
F-15B92-2000;Memento;113;2000;Tous Publics;1106983;8.4;A man with short-term memory loss attempts to track down his wifes murderer.
F-15B93-1961;Diary Of A Nudist;72;1961;;406;4.1;Newspaper editor Arthur Sherwood is on a hunting trip when he accidentally stumbles upon a nudist camp in the woods. He is very much shocked by this and decides to send reporter Stacy ...
F-15B94-1984;Tricheurs;94;1984;Tous Publics;401;6.1;Exploring themes of addiction, sexual power games, and compulsive behavior, Barbet Shroeders Tricheurs is a powerfully impudent look into the world of gambling addicts, Bulle Ogier is cast...
F-15B95-2010;Hito No Sabaku;121;2010;;399;1.1;Add a Plot
F-15B96-1991;Driving Me Crazy;87;1991;;600;3.4;An eccentric, East German inventor and defector travels to Los Angeles, California to sell a prototype revolutionary new car that runs on vegetables, and produces no pollution, but he runs ...
F-15B97-1960;Tormented;75;1960;;2140;4.6;A man lets a former flame fall to her death rather than let her interfere with his new relationship, but her ghost returns to disrupt his impending nuptials.
F-15B98-2018;The Field Guide To Evil;117;2018;R;1532;4.9;A feature-length anthology film. They are known as myths, lore, and folktales. Created to give logic to mankinds darkest fears, these stories laid the foundation for what we now know as the horror genre.
F-15B99-2014;Flying Love;95;2014;;4533;6.1;A New York businessman must choose between the deal of his career and the love of his life.
F-15B100-2007;Mp3: Mera Pehla Pehla Pyaar;118;2007;;2132;7.0;Delhi-based Rohan Sood lives a wealthy lifestyle along with his businessman dad, Shekhar, and mom, Renu. He attends St. Lawrence High School and is friendly with Vasu, Sudhir and Javed, and...
